iter	MultiClass
0	1.950383032
1	1.777722529
2	1.666911143
3	1.547942725
4	1.439724098
5	1.342415834
6	1.27261833
7	1.191403725
8	1.133355894
9	1.064080561
10	0.9860635742
11	0.9229902514
12	0.842513588
13	0.7952208623
14	0.747384985
15	0.6972185351
16	0.6543103148
17	0.6195767262
18	0.5740344469
19	0.5437426134
20	0.5168549773
21	0.487810508
22	0.460758119
23	0.4409200641
24	0.4204150721
25	0.3962809336
26	0.3748172082
27	0.3576885323
28	0.3397257363
29	0.3248373506
30	0.3101060147
31	0.2936197956
32	0.2826732644
33	0.2697719315
34	0.2611856826
35	0.2521515947
36	0.244684077
37	0.2362779907
38	0.2281697531
39	0.2208038666
40	0.2137496538
41	0.2071781937
42	0.2000216712
43	0.1933664342
44	0.1878547175
45	0.183709061
46	0.1782794065
47	0.1735080464
48	0.1693355291
49	0.1645293303
50	0.1601088882
51	0.1558000622
52	0.151440447
53	0.147971016
54	0.1438566209
55	0.1404869134
56	0.1367371945
57	0.1339096317
58	0.1307273812
59	0.1279253719
60	0.1253147738
61	0.1227748321
62	0.1198747763
63	0.1177066002
64	0.115477737
65	0.1133463443
66	0.111035441
67	0.1090956765
68	0.1072448448
69	0.1048436172
70	0.1028161186
71	0.1007678059
72	0.09913574163
73	0.09741669691
74	0.09557575869
75	0.0940053597
76	0.09234649551
77	0.09096559846
78	0.08974362196
79	0.08831682589
80	0.08674754607
81	0.08521806365
82	0.08396418284
83	0.0826266557
84	0.08116531493
85	0.07983498487
86	0.07886208767
87	0.07761623584
88	0.076410177
89	0.07561295319
90	0.07436556463
91	0.073368439
92	0.07240276228
93	0.07144008933
94	0.07035971103
95	0.06946888933
96	0.0684716557
97	0.06768255531
98	0.06682438959
99	0.06580339991
