iter	Passed	Remaining
0	145	14407
1	149	7339
2	153	4975
3	158	3799
4	162	3079
5	166	2611
6	170	2265
7	174	2005
8	194	1967
9	198	1789
10	203	1645
11	207	1524
12	212	1419
13	216	1328
14	223	1268
15	237	1244
16	242	1184
17	246	1121
18	251	1070
19	255	1023
20	259	978
21	263	934
22	267	896
23	272	862
24	276	829
25	281	801
26	286	774
27	291	749
28	306	750
29	313	731
30	318	708
31	321	683
32	325	659
33	328	638
34	332	616
35	335	596
36	339	577
37	343	560
38	346	542
39	350	526
40	354	510
41	358	495
42	362	480
43	366	466
44	370	452
45	374	439
46	377	425
47	381	413
48	385	401
49	388	388
50	392	377
51	396	366
52	400	355
53	410	349
54	426	349
55	431	339
56	436	328
57	440	318
58	444	308
59	447	298
60	451	288
61	456	280
62	460	270
63	463	260
64	466	251
65	470	242
66	474	233
67	478	224
68	482	216
69	485	208
70	489	199
71	493	191
72	498	184
73	516	181
74	520	173
75	524	165
76	528	157
77	533	150
78	537	142
79	541	135
80	545	127
81	549	120
82	553	113
83	557	106
84	560	98
85	565	91
86	569	85
87	573	78
88	577	71
89	582	64
90	585	57
91	589	51
92	593	44
93	597	38
94	616	32
95	621	25
96	624	19
97	628	12
98	633	6
99	638	0
