iter	Passed	Remaining
0	160	15886
1	163	8008
2	166	5375
3	169	4065
4	172	3275
5	175	2743
6	177	2361
7	180	2078
8	183	1853
9	186	1680
10	189	1531
11	192	1408
12	194	1303
13	197	1212
14	200	1136
15	203	1069
16	206	1008
17	209	954
18	212	904
19	214	859
20	218	821
21	221	784
22	224	750
23	226	718
24	229	688
25	232	662
26	235	637
27	238	613
28	241	590
29	244	569
30	246	549
31	250	531
32	253	513
33	255	496
34	259	481
35	261	465
36	265	451
37	268	438
38	271	424
39	274	411
40	276	398
41	279	386
42	282	374
43	285	362
44	287	351
45	290	341
46	292	330
47	295	319
48	298	310
49	301	301
50	303	291
51	306	282
52	308	273
53	311	265
54	314	257
55	316	249
56	319	240
57	322	233
58	325	226
59	327	218
60	331	211
61	334	204
62	337	197
63	339	191
64	342	184
65	345	177
66	348	171
67	351	165
68	353	158
69	356	152
70	358	146
71	361	140
72	364	134
73	367	128
74	369	123
75	372	117
76	374	111
77	377	106
78	380	101
79	382	95
80	385	90
81	388	85
82	391	80
83	395	75
84	397	70
85	400	65
86	403	60
87	406	55
88	409	50
89	412	45
90	415	41
91	418	36
92	421	31
93	424	27
94	427	22
95	430	17
96	433	13
97	436	8
98	439	4
99	459	0
